id,label
6,printed
17,printed
29,printed
38,printed
53,printed
103,printed
105,printed
154,printed
156,printed
157,printed
158,printed
159,printed
178,printed
187,printed
193,printed
194,printed
196,printed
200,printed
201,printed
212,printed
213,printed
214,printed
215,printed
217,printed
219,printed
222,printed
223,printed
225,printed
227,printed
243,printed
249,printed
250,printed
265,printed
291,printed
292,printed
295,printed
315,printed
328,printed
359,solid
394,printed
407,printed
409,printed
410,printed
417,printed
419,printed
455,printed
457,printed
460,printed
462,printed
463,printed
485,printed
489,printed
513,printed
522,printed
564,printed
631,printed
652,printed
735,printed
737,printed
755,printed
785,printed
796,printed
818,printed
819,printed
871,printed
872,printed
873,printed
874,printed
876,printed
903,printed
904,printed
907,printed
908,printed
909,printed
912,printed
921,printed
922,printed
928,printed
937,printed
943,printed
944,printed
954,printed
957,printed
958,printed
981,printed
1037,printed
1038,printed
1065,printed
1074,printed
1081,printed
1082,printed
1083,printed
1113,printed
1114,printed
1115,printed
1117,printed
1129,printed
1130,printed
1131,printed
1132,printed
1133,printed
1149,printed
1154,printed
1157,printed
1178,printed
1179,printed
1190,printed
1191,printed
1192,printed
1195,printed
1197,printed
1198,printed
1213,printed
1273,printed
1290,printed
1291,printed
1292,printed
1357,printed
1373,printed
1374,printed
1410,solid
1427,printed
1444,printed
1473,printed
1479,printed
1488,solid
1491,solid
1492,printed
1549,printed
1550,printed
1551,printed
1552,printed
1553,printed
1554,solid
1555,printed
1575,printed
1595,printed
1597,printed
1623,printed
1624,printed
1625,printed
1626,printed
1657,printed
1659,printed
1782,printed
1793,printed
1794,printed
1795,printed
1797,printed
1806,printed
1844,printed
1854,printed
1875,solid
1882,printed
1894,printed
1895,printed
1896,printed
1897,printed
1898,printed
1899,printed
1900,solid
1901,printed
1936,printed
1964,printed
1970,printed
1971,printed
1991,printed
2012,printed
2015,printed
2017,printed
2018,printed
2020,printed
2038,printed
2039,printed
2040,printed
2069,printed
2079,printed
2086,printed
2087,printed
2088,printed
2089,printed
2093,printed
2094,printed
2097,printed
2114,printed
2115,printed
2123,printed
2126,printed
2130,printed
2131,printed
2133,printed
2136,printed
2149,printed
2152,printed
2153,printed
2155,printed
2156,printed
2178,printed
2195,printed
2225,printed
