id,label
7436,default
7442,solid
7446,default
7447,default
7452,default
7455,default
7459,default
7460,default
7462,default
7463,default
7469,default
7470,default
7472,solid
7480,default
7493,solid
7496,default
7503,default
7510,default
7531,floral
7532,peacock
7535,default
7540,default
7542,solid
7546,solid
7547,default
7551,floral
7554,solid
7555,default
7563,default
7564,default
7565,default
7566,default
7571,default
7577,floral
7579,default
7583,default
7587,solid
7588,default
7589,default
7596,default
7603,default
7606,default
7609,default
7615,floral
7618,default
7620,default
7621,default
7623,floral
7630,default
7640,default
7645,default
7652,default
7659,default
7663,default
7664,solid
7669,ethnic motif
7671,default
7679,solid
7680,default
7685,peacock
7686,default
7690,ethnic motif
7691,floral
7692,default
7701,default
7704,default
7708,default
7713,default
7717,floral
7720,default
7721,default
7728,peacock
7729,solid
7742,default
7743,default
7744,default
7746,default
7747,default
7750,default
7755,solid
7763,default
7782,default
7788,floral
7791,peacock
7795,solid
7796,default
7804,default
7807,solid
7809,solid
7815,default
7824,default
7825,default
7830,default
7831,default
7838,floral
7847,default
7851,default
7852,solid
7855,default
7860,default
7861,default
7865,default
7871,peacock
7872,default
7874,default
7876,default
7881,default
7883,default
7887,default
7888,default
7890,solid
7898,default
7902,solid
7906,default
7908,solid
7909,solid
7913,default
7922,default
7925,default
7935,default
7939,peacock
7942,default
7950,default
7961,solid
7963,default
7965,default
7982,default
7993,peacock
7999,default
8001,default
8002,default
8010,default
8024,peacock
8026,default
8030,default
8031,ethnic motif
8033,default
8036,default
8048,solid
8051,default
8058,solid
8059,default
8061,default
8068,default
8069,default
8077,ethnic motif
8092,default
8101,default
8108,floral
8112,default
8118,default
8119,default
8120,default
8128,default
8129,default
8141,default
8142,default
8146,default
8153,default
8156,default
8160,default
8162,default
8166,default
8176,default
8183,default
8187,default
8194,default
8196,default
8198,default
8204,default
8206,default
8207,default
8216,default
8220,peacock
8228,default
8231,ethnic motif
8250,default
8251,default
8254,default
8258,floral
8263,default
8271,solid
8272,default
8278,default
8279,default
8282,default
8288,default
8297,default
8298,default
8299,default
8305,default
8309,default
8311,default
8313,default
8315,solid
8318,default
8320,peacock
8323,default
8334,default
8338,default
8350,default
8351,default
8353,default
8354,ethnic motif
8356,peacock
8359,default
8365,default
8374,default
8376,default
8388,solid
8399,solid
8404,default
8405,peacock
8406,ethnic motif
8408,default
8412,solid
8417,solid
8429,solid
8430,default
8442,default
8449,default
8455,default
8458,solid
8461,floral
8467,default
8469,solid
8472,default
8479,default
8481,peacock
8486,default
8491,default
8492,default
8496,default
8507,peacock
8510,default
8514,default
8518,default
8529,solid
8535,ethnic motif
8539,default
8542,default
8549,default
8555,default
8557,default
8559,default
8560,default
8562,default
8567,default
8572,default
8573,default
8574,default
8577,default
8580,default
8582,solid
8584,default
8585,default
8589,default
